GEOID,NAME,variable,estimate,moe
04027,"Yuma County, Arizona",B25077_001,173500,3860
05001,"Arkansas County, Arkansas",B25077_001,125900,10794
05003,"Ashley County, Arkansas",B25077_001,86600,3672
05005,"Baxter County, Arkansas",B25077_001,155600,5597
05007,"Benton County, Arkansas",B25077_001,254000,5740
05009,"Boone County, Arkansas",B25077_001,158100,6980
05011,"Bradley County, Arkansas",B25077_001,87900,7624
05013,"Calhoun County, Arkansas",B25077_001,82700,10442
05015,"Carroll County, Arkansas",B25077_001,169700,8385
05017,"Chicot County, Arkansas",B25077_001,88100,10520
05019,"Clark County, Arkansas",B25077_001,143300,12890
05021,"Clay County, Arkansas",B25077_001,85800,7082
05023,"Cleburne County, Arkansas",B25077_001,162200,9628
05025,"Cleveland County, Arkansas",B25077_001,109200,10756
05027,"Columbia County, Arkansas",B25077_001,123200,15480
05029,"Conway County, Arkansas",B25077_001,129600,14307
05031,"Craighead County, Arkansas",B25077_001,182600,5717
05033,"Crawford County, Arkansas",B25077_001,154900,6970
05035,"Crittenden County, Arkansas",B25077_001,147300,5820
05037,"Cross County, Arkansas",B25077_001,97500,11035
05039,"Dallas County, Arkansas",B25077_001,94300,10244
05041,"Desha County, Arkansas",B25077_001,88300,6786
05043,"Drew County, Arkansas",B25077_001,123900,17242
05045,"Faulkner County, Arkansas",B25077_001,195800,5642
05047,"Franklin County, Arkansas",B25077_001,117500,9230
05049,"Fulton County, Arkansas",B25077_001,100000,9482
05051,"Garland County, Arkansas",B25077_001,166600,5532
05053,"Grant County, Arkansas",B25077_001,141400,15459
05055,"Greene County, Arkansas",B25077_001,157400,7014
05057,"Hempstead County, Arkansas",B25077_001,104700,9311
05059,"Hot Spring County, Arkansas",B25077_001,119600,8096
05061,"Howard County, Arkansas",B25077_001,125300,13924
05063,"Independence County, Arkansas",B25077_001,111300,10887
05065,"Izard County, Arkansas",B25077_001,110600,11216
05067,"Jackson County, Arkansas",B25077_001,85700,4607
05069,"Jefferson County, Arkansas",B25077_001,105300,6115
05071,"Johnson County, Arkansas",B25077_001,119800,7715
05073,"Lafayette County, Arkansas",B25077_001,70900,8145
05075,"Lawrence County, Arkansas",B25077_001,84300,3930
05077,"Lee County, Arkansas",B25077_001,80600,11296
05079,"Lincoln County, Arkansas",B25077_001,112500,10785
05081,"Little River County, Arkansas",B25077_001,108200,11399
05083,"Logan County, Arkansas",B25077_001,121600,5875
05085,"Lonoke County, Arkansas",B25077_001,169600,4092
05087,"Madison County, Arkansas",B25077_001,148300,19731
05089,"Marion County, Arkansas",B25077_001,147100,9201
05091,"Miller County, Arkansas",B25077_001,137700,10700
05093,"Mississippi County, Arkansas",B25077_001,110000,8504
05095,"Monroe County, Arkansas",B25077_001,84600,3805
05097,"Montgomery County, Arkansas",B25077_001,126200,21329
05099,"Nevada County, Arkansas",B25077_001,85100,5270
05101,"Newton County, Arkansas",B25077_001,160500,9849
05103,"Ouachita County, Arkansas",B25077_001,96000,10554
05105,"Perry County, Arkansas",B25077_001,123400,9862
05107,"Phillips County, Arkansas",B25077_001,74100,11474
05109,"Pike County, Arkansas",B25077_001,99200,6899
05111,"Poinsett County, Arkansas",B25077_001,93900,6177
05113,"Polk County, Arkansas",B25077_001,120800,11722
05115,"Pope County, Arkansas",B25077_001,152000,7620
05117,"Prairie County, Arkansas",B25077_001,87200,14152
05119,"Pulaski County, Arkansas",B25077_001,187600,3251
05121,"Randolph County, Arkansas",B25077_001,110700,8575
05123,"St. Francis County, Arkansas",B25077_001,82400,4908
05125,"Saline County, Arkansas",B25077_001,194400,6958
05127,"Scott County, Arkansas",B25077_001,97600,11708
05129,"Searcy County, Arkansas",B25077_001,107100,9184
05131,"Sebastian County, Arkansas",B25077_001,154900,5920
05133,"Sevier County, Arkansas",B25077_001,99200,9653
05135,"Sharp County, Arkansas",B25077_001,89900,4808
05137,"Stone County, Arkansas",B25077_001,153700,26518
05139,"Union County, Arkansas",B25077_001,110900,5989
05141,"Van Buren County, Arkansas",B25077_001,117900,8128
05143,"Washington County, Arkansas",B25077_001,235500,4852
05145,"White County, Arkansas",B25077_001,150700,6278
05147,"Woodruff County, Arkansas",B25077_001,96100,9022
05149,"Yell County, Arkansas",B25077_001,128400,8080
06001,"Alameda County, California",B25077_001,999200,6699
06003,"Alpine County, California",B25077_001,463900,48254
06005,"Amador County, California",B25077_001,409600,14658
06007,"Butte County, California",B25077_001,371600,6760
06009,"Calaveras County, California",B25077_001,404200,18018
06011,"Colusa County, California",B25077_001,360100,16259
06013,"Contra Costa County, California",B25077_001,787300,7496
06015,"Del Norte County, California",B25077_001,282500,26102
06017,"El Dorado County, California",B25077_001,597600,11376
06019,"Fresno County, California",B25077_001,338200,3186
06021,"Glenn County, California",B25077_001,295400,16334
06023,"Humboldt County, California",B25077_001,386000,7402
06025,"Imperial County, California",B25077_001,256000,7742
06027,"Inyo County, California",B25077_001,325900,34812
06029,"Kern County, California",B25077_001,282800,2883
06031,"Kings County, California",B25077_001,281400,7435
06033,"Lake County, California",B25077_001,291300,10508
06035,"Lassen County, California",B25077_001,233100,13058
06037,"Los Angeles County, California",B25077_001,732200,1912
06039,"Madera County, California",B25077_001,340300,7289
06041,"Marin County, California",B25077_001,1291800,31343
06043,"Mariposa County, California",B25077_001,335900,14319
06045,"Mendocino County, California",B25077_001,463700,13959
06047,"Merced County, California",B25077_001,342300,6680
06049,"Modoc County, California",B25077_001,184900,14384
06051,"Mono County, California",B25077_001,496800,53338
06053,"Monterey County, California",B25077_001,683700,9111
06055,"Napa County, California",B25077_001,794500,15664
06057,"Nevada County, California",B25077_001,559700,13507
06059,"Orange County, California",B25077_001,862900,3353
06061,"Placer County, California",B25077_001,627100,3767
06063,"Plumas County, California",B25077_001,310100,20601
06065,"Riverside County, California",B25077_001,462900,2197
06067,"Sacramento County, California",B25077_001,465900,2501
06069,"San Benito County, California",B25077_001,703200,16996
06071,"San Bernardino County, California",B25077_001,438000,2803
06073,"San Diego County, California",B25077_001,725200,2959
06075,"San Francisco County, California",B25077_001,1348700,20887
06077,"San Joaquin County, California",B25077_001,462000,3586
06079,"San Luis Obispo County, California",B25077_001,726700,11365
06081,"San Mateo County, California",B25077_001,1441300,14165
06083,"Santa Barbara County, California",B25077_001,714800,13337
06085,"Santa Clara County, California",B25077_001,1316800,12304
06087,"Santa Cruz County, California",B25077_001,951300,18150
06089,"Shasta County, California",B25077_001,327500,6567
06091,"Sierra County, California",B25077_001,289400,42079
06093,"Siskiyou County, California",B25077_001,260200,9163
06095,"Solano County, California",B25077_001,549100,6555
06097,"Sonoma County, California",B25077_001,748500,7033
06099,"Stanislaus County, California",B25077_001,393300,4202
06101,"Sutter County, California",B25077_001,375400,7950
06103,"Tehama County, California",B25077_001,290400,9876
